target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
43.40241892916927,1302.12,32404.4,0.220349,0.74438,23.16636,21.08212,23.16636,unj+N188+E134,7639
43.40058704409744,1120.96,60921.6,0.159702,0.7981,24.21132,17.80026,24.10519,unm+N719+E126,7640
43.39594090793254,1405.49,33938.9,0.324994,0.7205,26.30824,24.401,26.29606,yfg+N206+E35,7641
43.39525444797002,2177.42,9013.92,0.762725,0.41258,13.9329,13.47052,13.81465,smm+N167+E19,7642
43.3927632119925,2430.06,8879.36,0.686243,0.31748,9.11848,6.81378,9.11848,sxb+N680+E205,7643
43.39111962423485,1288.5,50836.1,0.232095,0.7642,26.14541,15.27248,25.61888,crr+N355+E150,7645
43.39085037751405,2361.59,18210.1,1.02478,0.30222,9.14869,6.87665,9.02746,vct+N566+E13,7646
43.39059838201124,1852.86,22720.5,0.404259,0.65214,15.53223,11.07611,14.36331,cdt+N320+E128,7647
43.390327822111175,2310.27,10089.3,0.611872,0.35056,14.0959,13.38071,14.0959,sml+N494+E112,7649
43.38882621061836,1143.56,70750.0,0.245285,0.79382,22.36132,17.00311,22.21154,cag+N346+E11,7650
43.38793538938164,1252.42,49409.7,0.248495,0.77032,25.94169,14.78741,25.92528,noo+N391+E80,7651
43.38648433529044,3321.52,6675.83,1.01141,0.27432,7.39752,6.16429,7.17854,ooa+N272+E44,7652
43.385796499188,1683.86,24347.6,0.459727,0.6098,21.31463,19.51424,21.31463,whc+N541+E142,7653
43.38567556077452,1192.75,34248.2,0.171222,0.78674,23.5052,15.97427,23.5052,uoo+N219+E65,7654
43.38471812717052,2469.65,11654.8,0.709436,0.29812,9.53811,6.14751,9.13917,sow+N27+E138,7656
43.38438954453466,1496.63,19117.5,0.436456,0.60472,15.749,13.17385,15.48099,rkf+N438+E78,7657
43.38225440499687,1511.54,35846.6,0.503346,0.60722,24.18051,12.28836,21.67788,uku+N346+E89,7658
43.37853451892567,1215.54,21116.6,0.215444,0.7738,26.34625,23.81312,26.34625,kag+N569+E36,7659
43.37784545958776,2227.43,17704.7,0.743546,0.35956,10.78855,8.91579,10.61104,vmg+N684+E205,7660
43.377112228856966,2159.4,13172.2,0.921518,0.37096,12.51139,9.54849,12.26026,vcz+N278+E71,7661
43.375494580886944,1784.72,5791.45,0.871121,0.4921,12.50798,11.45188,12.50798,snp+N453+E66,7663
43.375371115053085,2131.19,4996.82,0.704534,0.33818,10.76128,7.97176,10.65887,sma+N356+E25,7664
43.37524549956277,1306.82,27107.9,0.253558,0.74452,21.44421,17.14433,21.44421,uom+N689+E228,7665
43.37436714453466,1141.35,41029.5,0.269629,0.77544,21.28574,17.46858,21.24006,ukg+N376+E166,7666
43.37097574216115,2003.4,14103.3,0.664304,0.57736,12.7513,10.39305,12.7513,umg+N448+E50,7667
43.370584153903806,1297.37,64207.9,0.264962,0.7667,26.45756,17.52048,26.31768,unb+N215+E65,7668
43.37017183360399,2666.15,13897.3,0.982831,0.2392,7.83395,4.65339,7.02041,svn+N599+E85,7669
43.3696240039975,1190.6,15135.0,0.183313,0.77304,20.52944,15.58537,19.9132,cds+N464+E49,7670
43.36905580212368,2612.38,5460.83,0.842422,0.30722,8.19511,6.91841,7.95895,est+N651+E71,7671
43.36875813316677,1055.72,19911.6,0.147915,0.80942,22.19538,17.79104,22.19415,lon+N50+E44,7672
43.3685725521549,1175.96,65044.7,0.200086,0.78002,29.95608,22.61089,29.95608,atn+N76+E195,7673
43.36837629481574,1189.94,57646.5,0.191879,0.77338,29.10306,27.34954,29.03479,smt+N447+E223,7674
43.36505697339163,1265.42,29971.7,0.195639,0.76564,23.0153,20.01713,23.01324,dft+N492+E147,7677
43.36234022136165,1124.74,27649.3,0.194168,0.79872,22.62748,21.58239,22.62748,uni+N184+E112,7678
43.362327107557775,1347.64,19605.5,0.268074,0.74352,18.58378,15.0838,18.58378,utp+N499+E156,7679
43.361733496564646,1228.46,15120.0,0.19877,0.75968,17.25398,13.86402,17.25398,cds+N513+E209,7680
