target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
255.9546928657253,2110.71,9195.02,1.09847,0.20452,7.73351,6.26875,7.70495,sni+N9+E138,4176
255.93220961993504,2696.27,8099.55,1.53464,0.276,7.93571,5.95403,7.90192,oof+N625+E119,4177
255.92335164452388,1890.94,2332.39,1.49699,0.09694,5.59155,2.91446,5.59155,msw+N442+E160,4178
255.8905991101177,2173.32,21431.9,0.708536,0.34606,13.41172,10.98212,13.41172,wkj+N295+E130,4179
255.8834481102683,2266.94,13606.7,1.01985,0.31762,9.11534,6.56786,8.55849,vbn+N504+E206,4180
255.8736785849198,2283.64,22439.1,0.664506,0.43442,16.89836,14.7644,16.89836,tch+N663+E141,4182
255.8422690487934,2037.64,2276.56,1.26704,0.1184,5.9401,4.87265,5.88092,qzd+N581+E149,4183
255.80106454308927,2803.54,24798.9,0.763248,0.41784,8.76245,7.11912,8.50656,zfm+N651+E186,4185
255.78700397682968,2218.28,7477.76,0.452907,0.51046,17.1645,16.19054,16.95693,unc+N89+E13,4186
255.77144052581917,1901.47,8746.23,1.00667,0.24424,9.06806,6.13576,8.97296,ecf+N262+E37,4187
255.72210771489563,1985.76,20388.5,1.30396,0.24358,10.48424,6.83513,10.45676,wkt+N446+E206,4188
255.6752452531072,2265.55,10935.6,0.772618,0.42332,14.03764,12.79403,14.0282,smj+N197+E16,4189
255.65538514272205,2647.95,9433.2,1.14105,0.33226,11.00806,10.50559,11.00806,wkp+N589+E27,4190
255.64742473883652,2519.99,13370.2,0.610046,0.46066,13.43795,8.81201,13.3962,fnu+N172+E189,4192
255.640681034246,2163.68,16137.9,0.974255,0.29166,10.18587,6.78814,9.75377,lcy-e+N548+E149,4193
255.5703043713552,2328.63,15483.6,0.761239,0.35816,11.15348,6.37752,11.15348,smb+N554+E173,4195
255.5315588447648,2226.65,20920.8,0.645802,0.4038,11.48672,8.31613,10.80094,wgw+N645+E134,4197
255.52486495717764,2270.33,19714.5,0.5329,0.44196,11.4656,7.50547,11.4656,vmj+N356+E177,4198
255.51601597728796,2581.02,29175.8,0.571605,0.4569,12.07371,8.46671,12.07371,acs-i+N572+E218,4199
255.48140831275512,1938.43,7887.07,1.21186,0.1467,8.46454,4.61227,8.40628,tcc+N24+E134,4200
255.44931730250855,2274.64,14648.3,0.677517,0.44242,13.14305,8.60128,13.10571,vmv+N189+E228,4202
255.42621875851327,2781.27,33023.6,0.870335,0.35384,8.74278,6.36936,7.89113,vbg+N300+E162,4203
255.4046779270614,2585.31,14891.1,0.628863,0.44842,11.1917,8.21157,9.53891,vby+N334+E201,4204
255.34427623757284,2346.13,30114.2,0.593919,0.48438,14.88586,11.27903,14.63156,zfe+N383+E29,4205
255.33103216795084,2246.4,13948.7,0.932276,0.37756,13.83218,6.73621,13.82305,svg+N599+E186,4206
255.3214512982628,2262.66,10441.7,0.894747,0.37208,13.53642,10.10355,13.53642,smt+N666+E95,4207
255.3138638436816,2736.53,9452.11,0.903424,0.38536,9.72329,6.88136,9.72329,sxa+N528+E110,4209
255.29594586516163,2924.96,7489.19,0.612797,0.44088,9.82802,6.40709,9.55114,qtz-x+N560+E31,4210
255.25365562855063,2824.08,2561.56,0.684695,0.4054,7.93251,6.36794,7.92827,cds+N623+E73,4211
255.20888280891944,2507.18,4244.72,1.24686,0.20962,7.31604,5.37416,7.31604,vmm+N599+E212,4212
255.20577957711924,1964.68,13956.0,1.28173,0.14124,7.86994,4.09685,7.63503,ecm+N380+E205,4213
255.17873564536592,2234.21,15178.4,0.659906,0.4421,14.78214,13.79708,14.78214,sni+N481+E16,4214
255.16946047061265,2215.13,16294.9,0.726095,0.4111,11.74125,8.30761,11.34197,vcs+N701+E206,4215
255.15260191170685,2471.68,8118.52,0.53534,0.48614,10.09974,7.23658,10.00651,bcu+N582+E218,4216
255.1216805265365,2371.68,11648.1,0.608285,0.51032,11.74977,8.41846,11.74977,lcy+N248+E150,4218
255.1106193162488,2297.42,16765.0,0.927159,0.3278,10.77265,7.5929,9.39782,vml+N583+E233,4219
255.10168100181863,2514.05,13720.3,0.665657,0.39874,11.55921,7.90864,11.20983,msp+N549+E51,4220
255.08970295801583,2304.5,21145.4,1.06879,0.39918,12.2601,10.66128,11.95451,whu+N278+E70,4221
