Unnamed: 0,target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
14003,544.5530385,1896.3,11438.2,0.404388,0.59692,15.17155,12.54049,15.17155,unj+N450+E184,1671
12969,544.5513084,1945.31,27582.0,0.561661,0.59712,13.30102,10.33011,11.66228,uki+N215+E72,1672
16718,544.4898048,2517.13,13113.5,1.06217,0.43588,11.10331,6.5589,11.10331,wht+N528+E70,1673
8403,544.4828576,1875.35,13175.7,0.420819,0.58568,21.03046,9.72365,20.09926,reo+N637+E199,1674
5713,544.4298083,1758.59,29581.4,0.290906,0.69782,13.09267,10.88931,13.09267,loh+N482+E33,1675
15907,544.4271216,1803.74,29420.9,0.460081,0.6247,16.96079,13.83659,16.86916,vmh+N536+E53,1676
9290,544.3945983,2315.97,18075.9,0.638342,0.4386,12.07671,8.2262,11.93481,smc+N569+E63,1678
14137,544.3850842,2295.86,32835.6,0.577349,0.53844,12.69747,8.53555,12.63703,unv+N276+E202,1679
7077,544.3663819,2535.98,5881.57,0.953817,0.3635,9.91809,7.58449,8.61509,ose+N233+E70,1680
5731,544.3562462,1938.51,10635.5,0.365878,0.61982,14.93116,11.3047,14.93116,lon+N267+E149,1681
15478,544.3556443,2555.34,14488.9,0.693893,0.38724,10.62513,10.33899,10.62513,vcn+N284+E166,1683
7059,544.3555811,1764.85,34763.0,0.342716,0.62294,18.96125,16.04715,18.96125,osc+N574+E11,1684
14954,544.3524928,1977.24,23637.9,0.448511,0.59842,16.908,14.88962,16.89553,upb+N109+E199,1685
13914,544.3521328,2051.21,9218.8,0.474379,0.61526,13.89398,12.97826,13.89398,uni+N256+E13,1686
11339,544.3097924,2377.04,10966.9,0.585904,0.46878,11.18096,8.82868,11.18096,sxb+N643+E96,1689
16681,544.3091822,1850.55,31514.8,0.41791,0.61612,15.91245,11.88452,15.07834,wht+N179+E179,1690
8146,544.297982,2884.85,6195.48,0.840772,0.32784,8.5962,7.04255,8.48197,qtz-x+N54+E150,1691
6820,544.280313,2608.55,12738.2,0.733394,0.3984,10.25801,6.87646,9.52008,noz+N383+E95,1692
6031,544.2686453,1824.33,17213.4,0.363237,0.6654,13.11937,10.95094,12.68982,mmt+N461+E201,1693
5359,544.2660536,2328.24,6831.16,0.48511,0.48548,10.89185,8.72167,10.89129,lcy+N598+E127,1694
7227,544.260604,1654.58,5228.99,0.302081,0.67476,16.5145,10.93978,16.27696,pcu+N295+E80,1695
15446,544.2586169,2358.0,19249.8,0.586106,0.47518,12.83086,9.26471,12.83086,vby+N612+E96,1696
5315,544.2287338,1808.89,17657.0,0.469954,0.6012,15.08869,12.65229,15.08869,lcy+N354+E188,1698
14530,544.2256927,1708.43,21277.3,0.29901,0.66806,16.24554,14.56038,16.10233,uon+N200+E166,1699
3034,544.2122993,2220.7,11160.0,0.501111,0.52564,13.10674,10.26028,13.10674,est+N572+E187,1700
15624,544.1994237,2158.68,15732.7,0.632114,0.48432,13.5532,10.48592,12.88715,vmb+N671+E25,1701
3489,544.1473935,1712.03,31304.9,0.297086,0.68886,16.32678,11.29321,16.32678,fnu+N383+E28,1702
9325,544.1428373,2631.45,27276.1,1.01018,0.38114,11.88698,8.42068,11.53626,smg+N354+E70,1704
13604,544.1195296,2109.56,20997.6,0.421564,0.58974,17.96377,16.7117,17.96377,umz+N68+E19,1706
17025,544.0963756,2184.4,15992.4,0.575781,0.56562,11.90512,10.67749,11.63367,wje+N697+E66,1709
19208,544.0879817,1715.93,30017.0,0.334335,0.66246,16.71132,11.55433,14.97194,zft+N482+E80,1710
6945,544.0675282,2353.72,15270.5,0.778207,0.44616,11.77579,8.87725,11.44035,oof+N169+E187,1711
1595,544.0310783,1805.39,25216.5,0.45393,0.61432,15.7063,12.12017,15.41874,cap+N378+E40,1713
11505,544.0251439,2242.89,26866.0,0.762761,0.47202,18.16888,17.04051,18.16888,tch+N510+E68,1714
6389,544.0167498,2469.06,16575.4,0.543119,0.43538,11.31432,7.08035,11.31432,msp+N503+E52,1716
15406,544.0132962,2715.95,14833.8,0.672984,0.36664,9.51544,7.45855,9.51544,vby+N180+E72,1717
16702,544.0130307,1883.65,36117.3,0.483758,0.61486,16.76393,13.02882,16.57959,wht+N354+E163,1718
13943,544.0016015,1578.01,22973.1,0.37449,0.6664,18.71988,15.41549,18.50623,uni+N393+E211,1719
14653,544.0000082,2489.68,7455.97,0.68022,0.49146,10.42434,7.70556,9.97794,uoo+N616+E199,1720
15691,543.9922065,2319.88,6886.34,0.665654,0.47206,10.16372,9.01545,10.08534,vme+N232+E166,1721
7297,543.9895464,1950.55,4096.95,0.398386,0.63298,12.7695,10.37014,12.7695,pcu+N630+E222,1722
13434,543.9505343,1712.15,16266.6,0.479371,0.66468,19.91119,19.75126,19.91119,umw+N393+E44,1723
16015,543.9470432,2769.73,13347.9,0.676274,0.43158,9.55929,6.80024,9.45472,vmk+N666+E199,1724
8346,543.9315777,1962.56,12988.1,0.427167,0.58212,18.79017,9.31296,18.057,reo+N141+E23,1725
15187,543.9043233,2018.86,11149.6,0.495247,0.5714,17.09324,7.69859,17.08706,vbj+N364+E44,1726
18954,543.900413,2645.85,12310.1,0.715969,0.42616,10.77125,7.15086,10.19099,zfa+N300+E138,1727
11229,543.8959241,2709.82,6232.2,0.750861,0.3794,8.52242,6.44639,8.39612,sxa+N590+E14,1728
14892,543.8936483,2318.32,14102.9,0.605753,0.5054,13.37643,8.58669,12.8861,upa+N164+E233,1729
12987,543.8572867,2986.91,24961.5,0.730397,0.36888,9.2925,7.58367,8.31554,ukk+N618+E51,1730
2838,543.8512121,1930.92,18757.8,0.485204,0.56786,15.59254,13.67937,15.27824,eci+N692+E104,1731
19048,543.8292325,2397.37,26964.3,0.749105,0.4236,12.19035,6.78289,11.88964,zfh+N206+E25,1732
5243,543.8024645,1873.65,48731.2,0.300361,0.64718,15.69786,10.741,15.52607,lcs+N492+E201,1733
17925,543.7878677,2505.22,27529.3,0.859714,0.417,12.8514,7.85224,11.54815,wno+N583+E182,1734
7016,543.7654819,2302.54,30812.5,0.559817,0.48038,12.88186,8.92396,12.2194,osb+N369+E80,1735
1886,543.7640637,2586.25,26903.7,0.655202,0.46304,11.0559,7.48348,9.36872,cds-f+N300+E138,1736
15920,543.7606646,1784.56,31153.4,0.484352,0.6217,16.94264,14.02936,16.94264,vmh+N667+E234,1737
9792,543.755913,2078.8,22047.9,0.485475,0.56136,15.9715,10.53206,15.94393,smu+N334+E163,1738
5245,543.7541589,2740.35,28210.9,0.852423,0.40232,10.52184,6.5502,10.12368,lcs+N649+E204,1739
13009,543.747916,1658.6,47193.5,0.283285,0.68494,21.89057,14.28699,21.89057,ukt+N158+E132,1740
1378,543.7131348,1675.51,20739.3,0.363822,0.67602,16.3906,13.09009,16.3906,bsn+N290+E20,1741
6933,543.6798943,2506.34,7409.96,0.678396,0.39978,9.15358,7.23607,9.05255,oob+N284+E166,1742
6028,543.6665951,2271.35,21016.3,0.390345,0.54726,13.26766,10.95532,13.26766,mmt+N437+E167,1743
17784,543.6350402,2349.88,18704.4,0.481416,0.45908,13.88179,8.2298,11.19991,wme+N234+E127,1744
14074,543.6054826,1753.28,27756.0,0.272925,0.65966,16.69618,11.9991,16.69618,unm+N93+E156,1746
9782,543.5948606,2314.84,10513.9,0.733618,0.47424,12.60101,8.48906,12.54341,smu+N289+E14,1747
14999,543.5807813,2561.61,22349.1,0.46118,0.48072,13.55512,9.40736,12.95229,upc+N282+E50,1748
17262,543.5802103,2516.73,18954.5,0.723872,0.43312,11.93078,7.27906,11.84779,wjv+N671+E18,1749
7061,543.5660338,1947.46,25872.7,0.468635,0.57874,17.11299,13.63414,17.01928,osc+N589+E154,1750
11470,543.548495,2523.31,8573.61,0.645076,0.43268,9.72322,6.23426,9.65964,tcc+N104+E38,1752
19134,543.5349165,2624.17,30302.9,0.67646,0.4534,11.02886,8.2517,10.48876,zfq+N391+E142,1753
5756,543.5082663,1897.46,8189.07,0.296293,0.64132,13.84114,10.44976,13.67676,lon+N492+E195,1754
