filename,target,metal_Zn,metal_Cu,metal_Co,metal_Cd,metal_Mn,metal_Ni,metal_Fe,metal_Ag,metal_In,metal_Nd,metal_Zr,metal_La,metal_Mg,metal_Ca,metal_W,metal_other,metal_organic,node_CN,node_is_fluorinated,node_is_electron_deficient,node_is_electron_rich,node_is_symmetric,node_is_conjugated,node_is_metalated,node_has_hydrogen_bond_donor,node_has_hydrogen_bond_acceptor,node_is_charged,node_is_photoswitchable,node_has_open_metal_site,edge_CN,edge_length,edge_is_fluorinated,edge_is_electron_deficient,edge_is_electron_rich,edge_is_symmetric,edge_is_conjugated,edge_is_metalated,edge_has_hydrogen_bond_donor,edge_has_hydrogen_bond_acceptor,edge_is_charged,edge_is_photoswitchable,edge_has_open_metal_site,topo_node_CN_min,topo_node_CN_max,topo_edge_CN_min,topo_edge_CN_max,sa,cv,density,vf,di,df,dif
umf+N359+E38,7.651975959832476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,6.12,0,0,0,1,0,0,0,0,0,0,0,4,4,2,2,1133.71,38638.9,0.16228,0.79546,24.15156,20.14619,24.00337
uoj+N219+E215,7.650779229291073,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,1,0,0,0,2,6.3321,0,0,0,1,1,0,0,0,0,0,0,4,4,2,2,1027.68,51803.6,0.161182,0.80844,27.49541,19.93303,27.47592
fnv+N383+E207,7.647328315369116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,1,0,0,0,2,14.0547,0,0,0,1,1,1,0,1,0,0,1,5,5,2,2,1236.73,68102.1,0.241609,0.77754,21.59155,19.11791,21.34798
umh+N237+E123,7.642930139435455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,1,2,6.2805,0,0,1,1,1,0,1,1,0,0,0,4,4,2,2,1179.8,58200.5,0.239067,0.77746,22.1495,18.49335,22.05742
bsn+N265+E9,7.642296902232216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,1,2,13.7885,0,0,0,1,1,0,0,1,0,0,0,6,6,2,2,1445.23,24925.2,0.31463,0.73364,17.50074,14.29021,17.03152
upa+N435+E111,7.640411421441961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,1,2,7.7211,0,0,0,1,0,0,0,0,0,0,0,4,4,2,2,1153.1,45081.5,0.156639,0.79768,22.39353,17.40181,21.90606
unp+N492+E107,7.639993528839883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,1,0,0,0,2,8.5083,0,0,0,1,1,0,0,1,0,0,0,4,4,2,2,1131.58,85202.9,0.172392,0.79282,28.18635,24.03719,27.98142
dft+N161+E57,7.63894157636238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,4.6113,0,0,0,1,0,0,0,1,0,0,0,4,4,2,2,1222.64,26341.3,0.207396,0.78004,25.52755,23.10978,25.52755
crr+N259+E215,7.636592416314847,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,1,2,6.3321,0,0,0,1,1,0,0,0,0,0,0,4,4,2,2,1054.14,63357.7,0.16835,0.79618,28.60519,20.91508,28.60519
wjf+N371+E74,7.634128325979619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,1,2,8.5042,0,0,0,1,1,1,0,1,0,0,1,4,4,2,2,1194.97,57899.3,0.28117,0.7768,26.32342,24.08913,26.11479
