filename,uptake,surrogate_pred_g_L,surrogate_rank,iteration
qtz-x+N598+E215,27.22548,31.232785791723813,5,7
smk+N234+E85,30.404752,29.990492534220493,6,7
hjm+N460+E166,20.44421,29.33492944059924,7,7
sxb+N556+E102,17.704719,29.206687974178635,8,7
hjm+N461+E166,30.113528,29.078346413490067,9,7
eca+N363+E147,24.593644,27.153294622336034,14,7
vmx+N229+E85,31.596903,27.02373122127301,15,7
wma+N591+E85,29.115392,26.905431876882403,16,7
wma+N591+E165,26.760318,26.865912761550703,17,7
osc+N506+E71,22.447849,26.29839983423608,19,7
wkp+N270+E104,20.240982,26.232944654599862,21,7
vbf+N482+E37,23.715139,26.07125530792854,23,7
wfu+N583+E136,18.23626,26.020340977918124,24,7
wfu+N583+E142,28.503155,25.994073135630572,25,7
zfu+N242+E136,11.865691,25.552898157881998,27,7
vbn+N195+E150,20.238457,25.48274156773715,28,7
wgc+N391+E92,23.618347,25.37785442381289,30,7
reo+N530+E68,18.480241,25.34334951357721,31,7
vmd+N506+E150,20.304511,24.131947849524238,33,7
crr+N87+E205,20.329111,23.997497086963392,36,7
vmg+N628+E63,25.482264,23.729927851063565,38,7
reo-e+N328+E95,26.533968,23.299627770376617,41,7
vmh+N146+E156,21.001079,22.404726985990663,44,7
vbk+N254+E175,22.349385,22.242458214311256,47,7
pcl+N184+E85,11.58531,22.23936435226139,48,7
vbk+N254+E27,20.946068,22.21739322900251,49,7
pcl+N387+E85,12.442355,22.17965553277608,51,7
smv+N270+E31,9.444515,22.04361620515212,55,7
wjl+N383+E71,26.951417,21.821587488251396,63,7
wjz+N332+E202,8.271374,21.754792900619947,67,7
whj+N265+E92,29.009558,21.72345217728619,68,7
skd+N529+E85,27.850321,21.682076356427842,70,7
whj+N265+E194,10.03558,21.678464981126154,71,7
wjz+N133+E202,16.343785,21.672462776574804,72,7
wjp+N364+E92,17.693166,21.65428962676802,74,7
dmp+N385+E130,9.727349,21.65299098992935,75,7
whw+N556+E16,17.91683,21.640780136398973,76,7
vmt+N542+E136,19.822299,33.43680813748301,1,8
qtz-x+N222+E215,29.342949,31.573100707381855,2,8
qtz-x+N577+E215,32.474785,31.16557832771059,3,8
hjm+N513+E166,12.18065,30.794808576966034,4,8
sxb+N479+E16,23.244273,30.711049434659344,5,8
eca+N432+E28,15.759955,26.797362418210696,7,8
smk+N406+E85,26.86274,25.673101781045148,9,8
osc+N30+E71,22.449386,25.092397328706625,10,8
wkp+N295+E44,25.608861,25.038515572454912,11,8
vbf+N364+E16,20.975579,24.748501296545783,12,8
vbf+N383+E16,23.631327,24.67431970766222,14,8
vbo+N143+E85,22.675992,23.591348843106857,18,8
cds+N719+E142,21.375532,23.552404918862862,19,8
vbo+N441+E85,10.583841,23.522903798447828,20,8
cds+N424+E142,11.585238,23.4732647171179,22,8
cds+N719+E47,10.38851,23.406816377307905,23,8
vbn+N608+E79,20.586112,23.18806225019921,26,8
whj+N343+E92,28.721788,23.15340319084578,27,8
vbn+N6+E79,21.446521,23.094135325416346,29,8
vbn+N438+E79,25.095604,23.087033634344834,30,8
crs+N494+E37,19.627066,23.024998236116346,32,8
vby+N152+E70,28.168531,23.021717750788696,33,8
crs+N680+E37,14.011624,22.94964695187383,35,8
skd+N529+E92,29.723403,22.53064201253602,43,8
sth+N133+E18,18.633938,22.397457106547677,45,8
wgz+N334+E203,15.43822,22.379462223842893,47,8
reo-e+N268+E95,22.141261,22.339382829775843,48,8
wgz+N205+E203,12.200141,22.311484712919537,49,8
skd+N529+E79,27.16507,22.295084008320828,50,8
qtz+N708+E175,14.071486,22.26139790130867,52,8
wgc+N133+E92,27.213362,22.24658470191281,53,8
snm+N290+E159,20.775687,22.241694540123206,54,8
qtz+N305+E21,4.965035,22.192790984932685,56,8
qtz+N305+E175,11.208305,22.16217118458013,58,8
snm+N290+E234,14.552257,22.157402426578244,60,8
snm+N290+E224,15.722898,22.140412784456146,61,8
ukh+N417+E4,6.060631,22.116578250409248,62,8
reo-e+N31+E95,19.843631,22.10567838587275,63,8
reo-e+N155+E95,23.696692,22.074147841857382,65,8
lta+N393+E186,11.764539,22.0524458385284,67,8
qtz-x+N269+E215,26.999611,31.647619637629646,2,9
qtz-x+N314+E215,12.59062,31.64193480926565,3,9
sxb+N328+E16,31.472169,29.681782925442917,4,9
eca+N432+E45,26.56703,27.79537236293504,5,9
smk+N680+E202,23.509637,27.41091993498833,6,9
skd+N529+E35,13.826292,24.92639281996128,11,9
skd+N529+E78,15.15776,24.633192351441153,12,9
wgc+N242+E131,28.949657,24.557045549033433,13,9
wma+N273+E127,20.949392,24.491597841330304,14,9
wma+N250+E127,20.940797,24.379789098345555,15,9
wkp+N270+E47,16.645208,23.88637503980135,17,9
reo-e+N373+E95,19.111472,23.855476225138318,18,9
reo+N326+E120,20.884809,23.8366987800448,20,9
vmg+N680+E63,27.144864,23.826927367324174,21,9
reo+N199+E120,24.12017,23.78985425673102,22,9
wjl+N364+E71,16.245689,22.96361570717241,25,9
vby+N274+E70,28.533758,22.490366986266338,27,9
vby+N694+E70,32.597987,22.282851744604642,29,9
vbf+N172+E16,22.200919,22.265189696150685,30,9
whj+N105+E92,26.302911,22.250904375949602,31,9
wig+N428+E45,5.318249,22.085932023577044,32,9
vmy+N98+E215,13.82692,21.86763995326919,35,9
whj+N290+E92,28.424069,21.784749304321025,37,9
wig+N283+E45,18.477244,21.743165276014395,38,9
vmy+N632+E215,23.075935,21.519354950074472,42,9
crr+N87+E3,10.617094,21.40639108926024,44,9
whm+N678+E132,17.447586,21.18046742517268,46,9
pcu-h+N717+E199,5.571398,20.795024209803174,56,9
ecp+N199+E13,28.515477,20.464497247938056,69,9
ecp+N199+E132,27.530919,20.435794630679055,71,9
vbk+N254+E78,8.734292,20.358051933366596,72,9
nov+N133+E4,7.899648,20.164158123469598,79,9
vby+N180+E70,30.238546,28.618292826140532,4,10
qtz-x+N678+E215,31.906467,28.123981402206482,5,10
qtz-x+N628+E215,23.328715,27.561072718035575,6,10
eca+N432+E176,29.976377,26.338316064910032,9,10
reo+N629+E63,20.851951,25.50231403906946,13,10
hjm+N700+E166,18.382416,25.479860696907053,14,10
wfu+N583+E104,20.45355,24.462151248795635,17,10
vbf+N254+E16,20.201045,23.015742240957024,18,10
sxa+N593+E71,33.129085,22.269667935460802,20,10
sxa+N41+E71,17.846882,22.220908974683425,21,10
vbn+N49+E79,20.729939,22.205771561621532,22,10
sxa+N14+E71,16.112179,22.195619624513256,23,10
vbo+N491+E160,24.914873,21.814160856353283,26,10
cco+N344+E187,29.095507,21.800903797850424,28,10
vbn+N559+E79,22.244827,21.800871555831236,29,10
whm+N77+E132,23.046037,21.6811255563548,30,10
whm+N328+E132,24.853641,21.570829907649113,32,10
vct+N431+E1,15.520417,21.546241284029293,34,10
vmu+N111+E92,22.186643,21.532807109367695,36,10
vct+N98+E137,17.062212,21.429054441089193,38,10
cag+N688+E205,28.730672,21.406786812957307,40,10
cco+N344+E150,26.678212,21.3359605544606,43,10
reo-e+N366+E95,23.119474,21.23318073537439,47,10
reo-e+N340+E95,21.95355,21.207463211189406,48,10
ecp+N199+E175,28.39342,21.135262367941323,49,10
vmd+N506+E71,25.07233,21.04086633363113,52,10
ncf+N444+E11,24.112548,20.966915178634736,56,10
ece+N545+E73,16.903411,20.95201485188727,57,10
ece+N629+E73,20.538088,20.761922570106435,66,10
ece+N647+E73,18.196936,20.757298419714516,67,10
fcn+N482+E16,17.80409,20.723120589694645,69,10
ncf+N444+E92,27.547536,20.717010512111756,71,10
osb+N241+E11,26.537419,20.658211386559287,73,10
sxg+N65+E132,17.408056,20.6239905671805,74,10
crr+N87+E158,22.3348,20.565495806289164,78,10
sny+N54+E221,11.794124,20.557155010872066,79,10
